latitude,longitude,weather_id,weather_main,weather_description,weather_icon,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_direction,rain_1,rain_3,snow_1,snow_3,clouds,sunrise,sunset,w_date,w_time
53.3545,-6.2594,300,Drizzle,"light intensity drizzle",09n,278.32,276.66,277.5,279.25,1033,83,10000,2.06,340,0,0,0,0,75,1677827351,1677866716,2023-03-03,21:36:55
53.3545,-6.2594,300,Drizzle,"light intensity drizzle",09n,278.32,276.66,277.5,279.25,1033,83,10000,2.06,340,0,0,0,0,75,1677827351,1677866716,2023-03-03,21:36:55
53.3498,-6.2603,300,Drizzle,"light intensity drizzle",09n,278.35,276.69,277.52,279.27,1033,82,10000,2.06,10,0,0,0,0,75,1677827351,1677866717,2023-03-03,21:47:05
53.3498,-6.2603,300,Drizzle,"light intensity drizzle",09n,278.35,276.69,277.52,279.27,1033,82,10000,2.06,10,0,0,0,0,75,1677827351,1677866717,2023-03-03,21:47:05
53.3467,-6.2599,300,Drizzle,"light intensity drizzle",09n,278.35,276.69,277.52,279.27,1033,82,10000,2.06,10,0,0,0,0,75,1677827351,1677866717,2023-03-03,21:53:05
53.3498,-6.2603,300,Drizzle,"light intensity drizzle",09n,278.35,276.69,277.52,279.27,1033,83,10000,2.06,10,0,0,0,0,75,1677827351,1677866717,2023-03-03,21:58:01
53.3498,-6.2603,803,Clouds,"broken clouds",04n,277.93,276.2,277.52,278.36,1033,85,10000,2.06,10,0,0,0,0,75,1677827351,1677866717,2023-03-03,22:03:32
53.3498,-6.2603,803,Clouds,"broken clouds",04n,277.93,276.2,277.52,278.36,1033,85,10000,2.06,10,0,0,0,0,75,1677827351,1677866717,2023-03-03,22:14:30
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.08,275.16,277.68,278.52,1033,83,10000,3.6,40,0,0,0,0,75,1677827351,1677866717,2023-03-03,22:18:43
53.3545,-6.2594,803,Clouds,"broken clouds",04n,278.07,275.15,277.66,278.5,1033,83,10000,3.6,40,0,0,0,0,75,1677827351,1677866716,2023-03-03,22:23:09
53.3545,-6.2594,803,Clouds,"broken clouds",04n,278.07,275.15,277.66,278.5,1033,83,10000,3.6,40,0,0,0,0,75,1677827351,1677866716,2023-03-03,22:23:09
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.08,275.16,277.68,278.52,1033,83,10000,3.6,40,0,0,0,0,75,1677827351,1677866717,2023-03-03,22:26:00
53.3467,-6.2599,803,Clouds,"broken clouds",04n,278.08,275.16,277.68,278.52,1033,83,10000,3.6,40,0,0,0,0,75,1677827351,1677866717,2023-03-03,22:38:05
